attack_folder,ids_sequence
166,"T1071.001, T1204.002, T1071.001, T1059.003, T1087.002, T1059.001, T1057, T1053.005, T1106, T1074.001, T1113, T1134, T1059.003, T1562.009, T1112, T1562.001, T1059.001, T1562.001, T1112, T1112"
167,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1087.001, T1059.001, T1057, T1071.001, T1566.002, T1547.004, T1106, T1074.001, T1113, T1005, T1134, T1059.003, T1562.009, T1562.001, T1059.001, T1562.001, T1112, T1112"
168,"T1071.001, T1204.002, T1071.001, T1087.001, T1059.001, T1057, T1059.003, T1053.005, T1106, T1074.001, T1113, T1005, T1134, T1059.003, T1562.009, T1562.001, T1059.001, T1562.001, T1562.001, T1112, T1112"
169,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.003, T1087.002, T1059.001, T1057, T1134, T1071.001, T1204.002, T1059.001, T1547.001, T1106, T1074.001, T1113, T1005, T1059.003, T1562.009, T1112, T1562.001, T1562.001, T1112, T1112"
16_UroburosCampaign,"T1071.001, T1566.002, T1204.002, T1071.001, T1083, T1057, T1071.001, T1566.002, T1059.001, T1547.004, T1005, T1106, T1074.001, T1071.001, T1134, T1059.003, T1562.001, T1112, T1562.009, T1112, T1112, T1112, T1112, T1490"
170,"T1071.001, T1566.002, T1204.002, T1071.001, T1087.001, T1059.001, T1082, T1071.001, T1204.002, T1547.001, T1106, T1560, T1113, T1005, T1548.002, T1071.001, T1059.003, T1562.009, T1562.001, T1059.001, T1562.001, T1562.001, T1112, T1112"
171,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.003, T1069.001, T1059.001, T1082, T1071.001, T1566.002, T1547.001, T1106, T1074.001, T1113, T1005, T1071.001, T1134, T1059.003, T1562.001, T1562.009, T1112, T1112, T1562.001, T1112, T1112"
172,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.003, T1069.002, T1083, T1059.001, T1082, T1071.001, T1566.002, T1547.001, T1106, T1074.001, T1113, T1005, T1134, T1059.001, T1562.001, T1059.003, T1562.009, T1112, T1112, T1562.001, T1112, T1112"
173,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.003, T1069.001, T1083, T1059.001, T1082, T1071.001, T1566.002, T1547.001, T1106, T1074.001, T1113, T1005, T1134, T1059.001, T1562.001, T1059.003, T1562.009, T1112, T1112, T1562.001, T1112, T1112"
174,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.001, T1069.002, T1083, T1082, T1071.001, T1566.002, T1547.001, T1106, T1074.001, T1113, T1005, T1134, T1059.001, T1562.001, T1059.003, T1562.009, T1112, T1112, T1562.001, T1112, T1112"
175,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.001, T1059.003, T1069.001, T1083, T1082, T1071.001, T1566.002, T1547.004, T1106, T1074.001, T1113, T1005, T1548.002, T1204.002, T1071.001, T1059.003, T1562.001, T1562.009, T1112, T1112, T1562.001, T1112"
176,"T1071.001, T1204.002, T1071.001, T1083, T1059.001, T1069.002, T1059.003, T1053.005, T1113, T1005, T1106, T1074.001, T1071.001, T1134, T1059.003, T1562.009, T1562.001, T1112, T1112, T1112, T1562.001, T1566.002, T1059.001, T1059.003, T1059.001, T1113, T1204.002, T1071.001, T1204.002, T1204.002, T1203, T1134, T1059.001, T1562.001, T1112"
177,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1083, T1059.003, T1069.001, T1071.001, T1071.001, T1204.002, T1204.002, T1547.001, T1059.001, T1005, T1113, T1106, T1560, T1071.001, T1134, T1059.003, T1562.009, T1112, T1112, T1112, T1562.001, T1059.001, T1562.001, T1112"
178,"T1071.001, T1566.002, T1204.002, T1071.001, T1057, T1083, T1059.001, T1057, T1071.001, T1566.002, T1547.001, T1113, T1005, T1134, T1059.003, T1562.009, T1059.001, T1562.001, T1112, T1112, T1112, T1562.001, T1562.001, T1112"
179,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1083, T1059.001, T1069.002, T1071.001, T1566.002, T1547.001, T1005, T1113, T1106, T1074.001, T1134, T1059.001, T1562.001, T1059.003, T1112, T1112, T1562.001, T1562.001, T1112"
17_APT41Campaign,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1083, T1087.001, T1049, T1057, T1059.001, T1071.001, T1566.002, T1547.001, T1113, T1005, T1106, T1074.001, T1071.001, T1134, T1059.003, T1562.001, T1112, T1562.009, T1112, T1112, T1112, T1112, T1490"
180,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1083, T1059.001, T1069.002, T1071.001, T1566.002, T1547.001, T1113, T1005, T1106, T1074.001, T1134, T1059.003, T1562.009, T1562.001, T1112, T1112, T1112, T1562.001, T1059.001, T1562.001, T1112"
181,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.001, T1057, T1083, T1071.001, T1204.002, T1059.003, T1547.001, T1106, T1560, T1113, T1005, T1071.001, T1134, T1059.003, T1112, T1112, T1490, T1112, T1106, T1071.001, T1059.003, T1059.001, T1059.001, T1548.002, T1566.002, T1204.002, T1071.001, T1204.002, T1071.001, T1203, T1203, T1059.001, T1562.001, T1112, T1112"
182,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1087.001, T1057, T1071.001, T1071.001, T1134, T1059.003, T1566.002, T1547.001, T1113, T1059.001, T1106, T1074.001, T1005, T1112, T1112, T1490, T1112, T1562.009, T1562.001, T1112, T1071.001, T1071.001, T1059.003, T1566.002, T1204.002, T1204.002, T1071.001, T1566.002, T1059.001, T1562.001, T1562.001"
183,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.001, T1069.002, T1087.001, T1057, T1071.001, T1204.002, T1204.002, T1547.001, T1106, T1074.001, T1005, T1113, T1134, T1059.003, T1490, T1112, T1112, T1562.009, T1112, T1112, T1112"
184,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.003, T1018, T1049, T1018, T1087.001, T1071.001, T1204.002, T1547.001, T1059.001, T1113, T1005, T1134, T1059.003, T1112, T1112, T1059.001, T1562.001, T1112, T1112, T1562.001, T1112, T1562.009"
185,"T1071.001, T1566.002, T1204.002, T1071.001, T1049, T1083, T1059.003, T1071.001, T1204.002, T1547.001, T1059.001, T1005, T1113, T1106, T1074.001, T1134, T1059.003, T1490, T1112, T1059.001, T1562.001, T1112, T1112, T1562.009, T1112, T1562.001"
186,"T1071.001, T1204.002, T1071.001, T1018, T1057, T1083, T1134, T1059.001, T1547.004, T1005, T1106, T1074.001, T1113, T1059.003, T1112, T1562.001, T1562.009, T1562.001, T1112, T1490, T1112"
187,"T1071.001, T1566.002, T1204.002, T1071.001, T1018, T1057, T1083, T1071.001, T1566.002, T1059.001, T1547.001, T1005, T1106, T1560, T1113, T1059.003, T1112, T1134, T1059.001, T1562.001, T1059.003, T1562.009, T1562.001, T1112, T1490, T1112"
188,"T1071.001, T1566.002, T1204.002, T1071.001, T1087.001, T1018, T1083, T1057, T1059.001, T1071.001, T1204.002, T1547.001, T1005, T1106, T1074.001, T1548.002, T1071.001, T1059.001, T1562.001, T1071.001, T1059.003, T1106, T1204.002, T1071.001, T1204.002, T1113, T1071.001, T1071.001, T1204.002, T1059.003, T1053.005, T1071.001, T1059.003, T1562.001, T1562.001, T1112, T1490"
189,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1087.001, T1018, T1057, T1083, T1071.001, T1059.003, T1566.002, T1547.001, T1059.001, T1005, T1106, T1074.001, T1113, T1112, T1134, T1059.001, T1562.001, T1059.003, T1562.009, T1562.001, T1112, T1490, T1112"
